Rank,Dutch,Frequency,CUMSUM,CUM%,GTInfo,Translation
351,daarom,59444,145004612,88.90688688549554,"Translated(src=nl, dest=en, text=therefore, pronunciation=therefore, extra_data=""{'translat..."")","conjunction: therefore, that is why.  adverb: hence, wherefore.  "
352,gehoord,59228,145063840,88.9432014345559,"Translated(src=nl, dest=en, text=heard, pronunciation=heard, extra_data=""{'translat..."")","verb: hear, belong.  "
353,pas,58649,145122489,88.97916098051122,"Translated(src=nl, dest=en, text=pass, pronunciation=pass, extra_data=""{'translat..."")","adverb: only.  noun: pass, pas.  conjunction: if only.  "
354,werkt,58586,145181075,89.01508189918569,"Translated(src=nl, dest=en, text=works, pronunciation=works, extra_data=""{'translat..."")","verb: work, operate.  "
355,vanavond,58415,145239490,89.05089797238352,"Translated(src=nl, dest=en, text=this evening, pronunciation=this evening, extra_data=""{'translat..."")",adverb: tonight.  
356,volgens,57698,145297188,89.08627443033728,"Translated(src=nl, dest=en, text=according to, pronunciation=according to, extra_data=""{'translat..."")","adverb: according to, by agreement.  preposition: according to, by.  adjective: accordant.  "
357,best,57222,145354410,89.12135903772455,"Translated(src=nl, dest=en, text=best, pronunciation=best, extra_data=""{'translat..."")","adjective: best, optimum.  adverb: best.  "
358,pijn,56898,145411308,89.15624499052451,"Translated(src=nl, dest=en, text=pain, pronunciation=pain, extra_data=""{'translat..."")","noun: pain, hurt.  "
359,kans,56749,145468057,89.1910395867396,"Translated(src=nl, dest=en, text=opportunity, pronunciation=opportunity, extra_data=""{'translat..."")","noun: chance, opportunity.  "
360,eruit,56620,145524677,89.22575508899864,"Translated(src=nl, dest=en, text=out, pronunciation=out, extra_data=""{'translat..."")","adverb: out, outward.  "
361,help,56560,145581237,89.26043380337114,"Translated(src=nl, dest=en, text=Help, pronunciation=Help, extra_data=""{'translat..."")",interjection: Help!.  
362,plaats,56532,145637769,89.29509535006326,"Translated(src=nl, dest=en, text=Place, pronunciation=Place, extra_data=""{'translat..."")","noun: place, location.  "
363,hoeveel,56363,145694132,89.32965327754165,"Translated(src=nl, dest=en, text=How much, pronunciation=How much, extra_data=""{'translat..."")","adverb: how much, how many.  conjunction: what, whilst.  "
364,vroeg,55462,145749594,89.36365877359059,"Translated(src=nl, dest=en, text=early, pronunciation=early, extra_data=""{'translat..."")","adjective: early.  adverb: early, soon.  "
365,oude,55353,145804947,89.39759743831232,"Translated(src=nl, dest=en, text=old, pronunciation=old, extra_data=""{'translat..."")",noun: ancient.  
366,stad,55276,145860223,89.43148889191299,"Translated(src=nl, dest=en, text=city, pronunciation=city, extra_data=""{'translat..."")","noun: city, town.  "
367,zoeken,55211,145915434,89.46534049196993,"Translated(src=nl, dest=en, text=Search, pronunciation=Search, extra_data=""{'translat..."")","verb: search, seek.  "
368,ogen,54838,145970272,89.49896339399892,"Translated(src=nl, dest=en, text=eyes, pronunciation=eyes, extra_data=""{'translat..."")","noun: lights, lamps.  "
369,jezelf,54738,146025010,89.53252498288367,"Translated(src=nl, dest=en, text=yourself, pronunciation=yourself, extra_data=""{'translat..."")",pronoun: yourself.  
370,geloven,54733,146079743,89.56608350611123,"Translated(src=nl, dest=en, text=to believe, pronunciation=to believe, extra_data=""{'translat..."")","verb: believe, think.  "
371,moment,54653,146134396,89.5995929788234,"Translated(src=nl, dest=en, text=moment, pronunciation=moment, extra_data=""{'translat..."")","noun: moment, instant.  "
372,kamer,54007,146188403,89.63270636862389,"Translated(src=nl, dest=en, text=room, pronunciation=room, extra_data=""{'translat..."")","noun: room, chamber.  "
373,schiet,53529,146241932,89.665526681595,"Translated(src=nl, dest=en, text=shoot, pronunciation=shoot, extra_data=""{'translat..."")","verb: shoot, fire.  "
374,vier,53510,146295442,89.6983353450687,"Translated(src=nl, dest=en, text=four, pronunciation=four, extra_data=""{'translat..."")","noun: four, gauds.  "
375,vindt,53453,146348895,89.73110906005019,"Translated(src=nl, dest=en, text=finds, pronunciation=finds, extra_data=""{'translat..."")","verb: find, think of.  "
376,word,53363,146402258,89.76382759320188,"Translated(src=nl, dest=en, text=become, pronunciation=become, extra_data=""{'translat..."")","verb: be, become.  "
377,agent,53276,146455534,89.79649278391811,"Translated(src=nl, dest=en, text=agent, pronunciation=agent, extra_data=""{'translat..."")","noun: agent, policeman.  "
378,slecht,53212,146508746,89.82911873422202,"Translated(src=nl, dest=en, text=bad, pronunciation=bad, extra_data=""{'translat..."")","adjective: bad, evil.  adverb: badly, perversely.  "
379,verteld,52923,146561669,89.86156748953914,"Translated(src=nl, dest=en, text=told, pronunciation=told, extra_data=""{'translat..."")","verb: tell, relate.  "
380,brengen,52308,146613977,89.89363916901928,"Translated(src=nl, dest=en, text=bring, pronunciation=bring, extra_data=""{'translat..."")","verb: bring, apply.  "
381,blij,52283,146666260,89.92569552021337,"Translated(src=nl, dest=en, text=pleased, pronunciation=pleased, extra_data=""{'translat..."")","adjective: happy, glad.  adverb: gladly.  "
382,hulp,52235,146718495,89.95772244109823,"Translated(src=nl, dest=en, text=staff, pronunciation=staff, extra_data=""{'translat..."")","noun: help, assistance.  "
383,welke,51772,146770267,89.98946548212534,"Translated(src=nl, dest=en, text=which, pronunciation=which, extra_data=""{'translat..."")","adjective: which, what.  conjunction: which.  pronoun: which, what.  "
384,blijft,51384,146821651,90.02097062815287,"Translated(src=nl, dest=en, text=stays, pronunciation=stays, extra_data=""{'translat..."")","verb: remain, stay.  "
385,ligt,51345,146872996,90.05245186205414,"Translated(src=nl, dest=en, text=is, pronunciation=is, extra_data=""{'translat..."")","verb: lie, be.  "
386,broer,51262,146924258,90.08388220604571,"Translated(src=nl, dest=en, text=brother, pronunciation=brother, extra_data=""{'translat..."")","noun: brother, sibling.  "
387,school,51174,146975432,90.11525859447036,"Translated(src=nl, dest=en, text=school, pronunciation=school, extra_data=""{'translat..."")","noun: school, shoal.  "
388,tussen,50710,147026142,90.14635048990583,"Translated(src=nl, dest=en, text=among, pronunciation=among, extra_data=""{'translat..."")","preposition: between, among.  "
389,deur,50693,147076835,90.17743196210677,"Translated(src=nl, dest=en, text=door, pronunciation=door, extra_data=""{'translat..."")","noun: door, gate.  "
390,spreken,50678,147127513,90.20850423733607,"Translated(src=nl, dest=en, text=to speak, pronunciation=to speak, extra_data=""{'translat..."")","verb: speak, talk.  "
391,plan,50369,147177882,90.23938705494973,"Translated(src=nl, dest=en, text=plan, pronunciation=plan, extra_data=""{'translat..."")","noun: plan, scheme.  "
392,dollar,50329,147228211,90.2702453473057,"Translated(src=nl, dest=en, text=dollars, pronunciation=dollars, extra_data=""{'translat..."")","noun: dollar, plunk.  "
393,handen,50113,147278324,90.30097120327015,"Translated(src=nl, dest=en, text=hands, pronunciation=hands, extra_data=""{'translat..."")",adjective: manual.  
394,ergens,50095,147328419,90.33168602286864,"Translated(src=nl, dest=en, text=somewhere, pronunciation=somewhere, extra_data=""{'translat..."")","adverb: somewhere, anywhere.  pronoun: someplace.  "
395,dr.,50094,147378513,90.36240022933569,"Translated(src=nl, dest=en, text=dr., pronunciation=dr., extra_data=""{'translat..."")",dr.
396,klopt,50057,147428570,90.39309174993937,"Translated(src=nl, dest=en, text=beats, pronunciation=beats, extra_data=""{'translat..."")","verb: knock, beat.  "
397,breng,49949,147478519,90.4237170523473,"Translated(src=nl, dest=en, text=bring, pronunciation=bring, extra_data=""{'translat..."")","verb: bring, apply.  "
398,dokter,49555,147528074,90.45410078096698,"Translated(src=nl, dest=en, text=doctor, pronunciation=doctor, extra_data=""{'translat..."")","noun: doctor, physician.  "
399,juist,49519,147577593,90.48446243685474,"Translated(src=nl, dest=en, text=right, pronunciation=right, extra_data=""{'translat..."")","adjective: just, correct.  adverb: just, right.  prefix: ortho-.  "
400,vond,49436,147627029,90.51477320283281,"Translated(src=nl, dest=en, text=found, pronunciation=found, extra_data=""{'translat..."")","verb: find, think of.  "
401,praat,49357,147676386,90.54503553142693,"Translated(src=nl, dest=en, text=talk, pronunciation=talk, extra_data=""{'translat..."")",noun: talking.  
402,prima,49136,147725522,90.57516235797232,"Translated(src=nl, dest=en, text=fine, pronunciation=fine, extra_data=""{'translat..."")","adjective: prime, top.  noun: tiptop.  adverb: toppingly.  "
403,betekent,48691,147774213,90.60501634102592,"Translated(src=nl, dest=en, text=means, pronunciation=means, extra_data=""{'translat..."")","verb: mean, signify.  "
404,soort,48670,147822883,90.63485744831924,"Translated(src=nl, dest=en, text=kind, pronunciation=kind, extra_data=""{'translat..."")","noun: kind, sort.  "
405,zaak,48355,147871238,90.66450541920824,"Translated(src=nl, dest=en, text=matter, pronunciation=matter, extra_data=""{'translat..."")","noun: case, matter.  "
406,proberen,48292,147919530,90.6941147628164,"Translated(src=nl, dest=en, text=to attempt, pronunciation=to attempt, extra_data=""{'translat..."")","verb: try, attempt.  "
407,jack,48424,147967954,90.72380503977492,"Translated(src=nl, dest=en, text=jack, pronunciation=jack, extra_data=""{'translat..."")",jack
408,spelen,48192,148016146,90.75335307023884,"Translated(src=nl, dest=en, text=to play, pronunciation=to play, extra_data=""{'translat..."")","verb: play, game.  "
409,lekker,47886,148064032,90.78271348248144,"Translated(src=nl, dest=en, text=yummy, pronunciation=yummy, extra_data=""{'translat..."")","adjective: tasty, nice.  adverb: deliciously.  "
410,doden,47776,148111808,90.8120064502654,"Translated(src=nl, dest=en, text=kill, pronunciation=kill, extra_data=""{'translat..."")","verb: kill, slay.  "
411,gebruiken,47606,148159414,90.84119518570418,"Translated(src=nl, dest=en, text=to use, pronunciation=to use, extra_data=""{'translat..."")","verb: use, employ.  "
412,groot,47534,148206948,90.87033977567913,"Translated(src=nl, dest=en, text=big, pronunciation=big, extra_data=""{'translat..."")","adjective: large, great.  noun: groat.  "
413,kent,47526,148254474,90.89947946060252,"Translated(src=nl, dest=en, text=knows, pronunciation=knows, extra_data=""{'translat..."")",noun: the Garden of England.  
414,boven,47510,148301984,90.92860933542285,"Translated(src=nl, dest=en, text=above, pronunciation=above, extra_data=""{'translat..."")","adverb: above, over.  preposition: above, over.  adjective: upper.  "
415,water,47424,148349408,90.95768648093915,"Translated(src=nl, dest=en, text=water, pronunciation=water, extra_data=""{'translat..."")",noun: water.  
416,problemen,47408,148396816,90.98675381635236,"Translated(src=nl, dest=en, text=issues, pronunciation=issues, extra_data=""{'translat..."")","noun: problem, puzzler.  "
417,land,46950,148443766,91.01554033756504,"Translated(src=nl, dest=en, text=country, pronunciation=country, extra_data=""{'translat..."")","noun: land, earth.  "
418,sta,46926,148490692,91.0443121436231,"Translated(src=nl, dest=en, text=stand, pronunciation=stand, extra_data=""{'translat..."")",interjection: Stand fast!.  
419,later,46733,148537425,91.07296561531281,"Translated(src=nl, dest=en, text=later, pronunciation=later, extra_data=""{'translat..."")","adverb: later, later on.  adjective: after, ulterior.  "
420,papa,46437,148583862,91.10143760009564,"Translated(src=nl, dest=en, text=Daddy, pronunciation=Daddy, extra_data=""{'translat..."")","noun: papa, father.  "
421,pakken,46368,148630230,91.12986727880893,"Translated(src=nl, dest=en, text=to grab, pronunciation=to grab, extra_data=""{'translat..."")","verb: tackle, pack.  noun: grab.  "
422,week,46191,148676421,91.15818843325695,"Translated(src=nl, dest=en, text=week, pronunciation=week, extra_data=""{'translat..."")","noun: week, hebdomad.  adjective: soft, weak.  "
423,schat,46157,148722578,91.18648874123595,"Translated(src=nl, dest=en, text=treasure, pronunciation=treasure, extra_data=""{'translat..."")","noun: treasure, darling.  "
424,voordat,46091,148768669,91.21474858253974,"Translated(src=nl, dest=en, text=before, pronunciation=before, extra_data=""{'translat..."")","preposition: prior to.  conjunction: ere, ergo.  adverb: thitherto.  "
425,zoveel,46005,148814674,91.24295569453952,"Translated(src=nl, dest=en, text=this much, pronunciation=this much, extra_data=""{'translat..."")","adverb: so many, how much.  "
426,vrij,45832,148860506,91.27105673479979,"Translated(src=nl, dest=en, text=free, pronunciation=free, extra_data=""{'translat..."")","adjective: free, clear.  adverb: free, pretty.  prefix: non-.  "
427,echte,45607,148906113,91.29901982048554,"Translated(src=nl, dest=en, text=real, pronunciation=real, extra_data=""{'translat..."")","adjective: real, genuine.  "
428,stoppen,45570,148951683,91.32696022030794,"Translated(src=nl, dest=en, text=stop, pronunciation=stop, extra_data=""{'translat..."")","verb: stop, cease.  "
429,klootzak,45458,148997141,91.35483194940882,"Translated(src=nl, dest=en, text=asshole, pronunciation=asshole, extra_data=""{'translat..."")","noun: asshole, son of a bitch.  "
430,beginnen,45103,149042244,91.3824860168477,"Translated(src=nl, dest=en, text=to start, pronunciation=to start, extra_data=""{'translat..."")","verb: start, begin.  "
431,alstublieft,45100,149087344,91.41013824489224,"Translated(src=nl, dest=en, text=Please, pronunciation=Please, extra_data=""{'translat..."")","interjection: Please!, Here you are!.  "
432,zodat,44898,149132242,91.43766662038547,"Translated(src=nl, dest=en, text=so that, pronunciation=so that, extra_data=""{'translat..."")",conjunction: so that.  adverb: wherefore.  
433,zorg,44780,149177022,91.4651226463685,"Translated(src=nl, dest=en, text=concern, pronunciation=concern, extra_data=""{'translat..."")","noun: care, worry.  "
434,mooie,44687,149221709,91.49252165112742,"Translated(src=nl, dest=en, text=nice, pronunciation=nice, extra_data=""{'translat..."")","adjective: beautiful, nice.  "
435,wees,44675,149266384,91.51991329830902,"Translated(src=nl, dest=en, text=orphan, pronunciation=orphan, extra_data=""{'translat..."")",noun: orphan.  
436,vermoorden,44556,149310940,91.547231982849,"Translated(src=nl, dest=en, text=murder, pronunciation=murder, extra_data=""{'translat..."")","verb: murder, assassinate.  "
437,mis,44446,149355386,91.57448322293034,"Translated(src=nl, dest=en, text=wrong, pronunciation=wrong, extra_data=""{'translat..."")","adjective: wrong, incorrect.  adverb: wrong, beside the mark.  noun: mass, office.  "
438,vooruit,44178,149399564,91.60157014378515,"Translated(src=nl, dest=en, text=forward, pronunciation=forward, extra_data=""{'translat..."")","adverb: forward, ahead.  noun: windscreen, screen.  "
439,bellen,44075,149443639,91.62859391210142,"Translated(src=nl, dest=en, text=to call, pronunciation=to call, extra_data=""{'translat..."")","verb: dial, clang.  "
440,dochter,43787,149487426,91.65544109856232,"Translated(src=nl, dest=en, text=daughter, pronunciation=daughter, extra_data=""{'translat..."")",noun: daughter.  
441,vrouwen,43587,149531013,91.68216565873479,"Translated(src=nl, dest=en, text=women, pronunciation=women, extra_data=""{'translat..."")","noun: women, wives.  "
442,tien,43528,149574541,91.70885404415215,"Translated(src=nl, dest=en, text=ten, pronunciation=ten, extra_data=""{'translat..."")",noun: ten.  : ten.  
443,hoeft,43165,149617706,91.73531986285599,"Translated(src=nl, dest=en, text=need, pronunciation=need, extra_data=""{'translat..."")","verb: need, require.  "
444,lopen,43127,149660833,91.76176238256502,"Translated(src=nl, dest=en, text=walk, pronunciation=walk, extra_data=""{'translat..."")","verb: walk, run.  phrase: leg it.  "
445,hart,42798,149703631,91.78800318202957,"Translated(src=nl, dest=en, text=heart, pronunciation=heart, extra_data=""{'translat..."")","noun: heart, core.  "
446,snap,42660,149746291,91.81415936935508,"Translated(src=nl, dest=en, text=snap, pronunciation=snap, extra_data=""{'translat..."")","verb: get, snap.  "
447,voorbij,42599,149788890,91.84027815566262,"Translated(src=nl, dest=en, text=past, pronunciation=past, extra_data=""{'translat..."")","adjective: past, preterite.  adverb: past, over.  preposition: past, beyond.  "
448,los,42535,149831425,91.86635770155785,"Translated(src=nl, dest=en, text=loose, pronunciation=loose, extra_data=""{'translat..."")","adjective: loose, free.  adverb: loose, loosely.  noun: lynx, ounce.  "
449,vergeten,42426,149873851,91.89237041612587,"Translated(src=nl, dest=en, text=to forget, pronunciation=to forget, extra_data=""{'translat..."")",verb: forget.  
450,gebeuren,42376,149916227,91.91835247412179,"Translated(src=nl, dest=en, text=to happen, pronunciation=to happen, extra_data=""{'translat..."")","verb: happen, be.  noun: opportunity.  "
451,bloed,42291,149958518,91.94428241594512,"Translated(src=nl, dest=en, text=blood, pronunciation=blood, extra_data=""{'translat..."")","noun: blood, bordeaux.  adjective: hematic, haematic.  "
452,druk,42103,150000621,91.97009708905732,"Translated(src=nl, dest=en, text=pressure, pronunciation=pressure, extra_data=""{'translat..."")","noun: pressure, push.  adjective: busy, crowded.  adverb: busily.  "
453,verhaal,41989,150042610,91.9958418651851,"Translated(src=nl, dest=en, text=story, pronunciation=story, extra_data=""{'translat..."")","noun: story, tale.  "
454,moeilijk,41944,150084554,92.02155905039797,"Translated(src=nl, dest=en, text=difficult, pronunciation=difficult, extra_data=""{'translat..."")","adjective: difficult, tough.  adverb: painfully, arduously.  "
455,hoi,41728,150126282,92.04714379921933,"Translated(src=nl, dest=en, text=Hi, pronunciation=Hi, extra_data=""{'translat..."")",Hi
456,zes,41637,150167919,92.07267275307943,"Translated(src=nl, dest=en, text=six, pronunciation=six, extra_data=""{'translat..."")","noun: six, sice.  : six.  "
457,eerder,41609,150209528,92.09818453925917,"Translated(src=nl, dest=en, text=earlier, pronunciation=earlier, extra_data=""{'translat..."")","adverb: previously, rather.  "
458,neer,41320,150250848,92.1235191304521,"Translated(src=nl, dest=en, text=down, pronunciation=down, extra_data=""{'translat..."")","adverb: down, low.  "
459,ervan,41219,150292067,92.14879179536935,"Translated(src=nl, dest=en, text=of it, pronunciation=of it, extra_data=""{'translat..."")",pronoun: whose.  
460,bed,41205,150333272,92.17405587644642,"Translated(src=nl, dest=en, text=bed, pronunciation=bed, extra_data=""{'translat..."")","noun: bed, berth.  "
461,nacht,41146,150374418,92.19928378276839,"Translated(src=nl, dest=en, text=night, pronunciation=night, extra_data=""{'translat..."")","noun: night, nighttime.  "
462,bezig,41139,150415557,92.22450739717027,"Translated(src=nl, dest=en, text=in process, pronunciation=in process, extra_data=""{'translat..."")",adjective: busy.  
463,wakker,41135,150456692,92.24972855904639,"Translated(src=nl, dest=en, text=awake, pronunciation=awake, extra_data=""{'translat..."")","adjective: awake, alert.  "
464,redden,41027,150497719,92.27488350272674,"Translated(src=nl, dest=en, text=to rescue, pronunciation=to rescue, extra_data=""{'translat..."")","verb: save, rescue.  "
465,klein,40806,150538525,92.29990294435835,"Translated(src=nl, dest=en, text=small, pronunciation=small, extra_data=""{'translat..."")","adjective: small, little.  "
466,gekomen,40777,150579302,92.32490460517815,"Translated(src=nl, dest=en, text=come, pronunciation=come, extra_data=""{'translat..."")","verb: come, get.  "
467,sinds,40675,150619977,92.34984372659083,"Translated(src=nl, dest=en, text=ever since, pronunciation=ever since, extra_data=""{'translat..."")","adverb: since.  conjunction: since, ever after.  preposition: since, syne.  "
468,kop,40643,150660620,92.37476322779737,"Translated(src=nl, dest=en, text=cup, pronunciation=cup, extra_data=""{'translat..."")","noun: cup, head.  "
469,zult,40481,150701101,92.39958340171027,"Translated(src=nl, dest=en, text=will, pronunciation=will, extra_data=""{'translat..."")",verb: shall.  
470,begrepen,40477,150741578,92.4244011230974,"Translated(src=nl, dest=en, text=understood, pronunciation=understood, extra_data=""{'translat..."")","interjection: O.k.!, Ok!.  "
471,plek,40429,150782007,92.4491894141753,"Translated(src=nl, dest=en, text=place, pronunciation=place, extra_data=""{'translat..."")","noun: place, spot.  "
472,veilig,40317,150822324,92.47390903453166,"Translated(src=nl, dest=en, text=safe, pronunciation=safe, extra_data=""{'translat..."")","adjective: safe, secure.  adverb: safely, sure.  "
473,stel,40303,150862627,92.49862007104784,"Translated(src=nl, dest=en, text=couple, pronunciation=couple, extra_data=""{'translat..."")","noun: set, bunch.  "
474,vol,40131,150902758,92.52322564895596,"Translated(src=nl, dest=en, text=full, pronunciation=full, extra_data=""{'translat..."")","adjective: full, crowded.  adverb: full.  "
475,nummer,39955,150942713,92.54772331573024,"Translated(src=nl, dest=en, text=number, pronunciation=number, extra_data=""{'translat..."")","noun: number, digit.  abbreviation: No..  "
476,waarheid,39572,150982285,92.57198615316214,"Translated(src=nl, dest=en, text=truth, pronunciation=truth, extra_data=""{'translat..."")","noun: truth, verity.  "
477,zoiets,39557,151021842,92.59623979362242,"Translated(src=nl, dest=en, text=something like that, pronunciation=something like that, extra_data=""{'translat..."")",noun: such a thing.  
478,mevrouw,39513,151061355,92.62046645629923,"Translated(src=nl, dest=en, text=Mrs, pronunciation=Mrs, extra_data=""{'translat..."")","abbreviation: Mrs., Ms..  noun: madam, lady.  "
479,leren,39427,151100782,92.64464038967202,"Translated(src=nl, dest=en, text=to learn, pronunciation=to learn, extra_data=""{'translat..."")","verb: learn, teach.  adjective: leather, leathern.  noun: hide.  "
480,hetzelfde,39405,151140187,92.66880083415307,"Translated(src=nl, dest=en, text=same, pronunciation=same, extra_data=""{'translat..."")",pronoun: same.  adjective: ditto.  adverb: ditto.  
481,gaf,39222,151179409,92.6928490755802,"Translated(src=nl, dest=en, text=gave, pronunciation=gave, extra_data=""{'translat..."")","verb: give, deliver.  "
482,baby,39126,151218535,92.71683845638887,"Translated(src=nl, dest=en, text=baby, pronunciation=baby, extra_data=""{'translat..."")","noun: baby, nursling.  "
483,baas,38962,151257497,92.74072728364102,"Translated(src=nl, dest=en, text=boss, pronunciation=boss, extra_data=""{'translat..."")","noun: boss, master.  "
484,gelukkig,38896,151296393,92.76457564421798,"Translated(src=nl, dest=en, text=happy, pronunciation=happy, extra_data=""{'translat..."")","adjective: happy, lucky.  adverb: happily, fortunately.  "
485,meteen,38814,151335207,92.78837372801668,"Translated(src=nl, dest=en, text=immediately, pronunciation=immediately, extra_data=""{'translat..."")","adverb: pronto, therewith.  "
486,beneden,38676,151373883,92.81208719967634,"Translated(src=nl, dest=en, text=down, pronunciation=down, extra_data=""{'translat..."")","adverb: down, below.  preposition: below, under.  adjective: lower, under.  "
487,waarschijnlijk,38657,151412540,92.83578902183861,"Translated(src=nl, dest=en, text=probably, pronunciation=probably, extra_data=""{'translat..."")","adverb: probably, presumably.  adjective: likely, probable.  "
488,sterven,38557,151451097,92.85942953085666,"Translated(src=nl, dest=en, text=die, pronunciation=die, extra_data=""{'translat..."")","verb: die, perish.  noun: dying.  "
489,gezicht,38454,151489551,92.88300688733615,"Translated(src=nl, dest=en, text=sight, pronunciation=sight, extra_data=""{'translat..."")","noun: face, sight.  "
490,begin,38444,151527995,92.90657811250122,"Translated(src=nl, dest=en, text=get started, pronunciation=get started, extra_data=""{'translat..."")","noun: beginning, start.  "
491,mogelijk,38273,151566268,92.93004449218968,"Translated(src=nl, dest=en, text=possible, pronunciation=possible, extra_data=""{'translat..."")","adjective: possible, potential.  adverb: possibly, perhaps.  "
492,mama,38204,151604472,92.95346856580862,"Translated(src=nl, dest=en, text=mom, pronunciation=mom, extra_data=""{'translat..."")","noun: mama, mommy.  "
493,dicht,37994,151642466,92.97676388182468,"Translated(src=nl, dest=en, text=closed, pronunciation=closed, extra_data=""{'translat..."")","adjective: close, closed.  adverb: densely, close to.  noun: poem.  "
494,zaken,37888,151680354,92.99999420590788,"Translated(src=nl, dest=en, text=Affairs, pronunciation=Affairs, extra_data=""{'translat..."")","noun: affairs, occasions.  "
495,liggen,37843,151718197,93.02319693907617,"Translated(src=nl, dest=en, text=lying down, pronunciation=lying down, extra_data=""{'translat..."")","verb: lie, be.  "
496,nieuws,37780,151755977,93.0463610449636,"Translated(src=nl, dest=en, text=news, pronunciation=news, extra_data=""{'translat..."")","noun: news, novelty.  "
497,ander,37739,151793716,93.0695000124619,"Translated(src=nl, dest=en, text=other, pronunciation=other, extra_data=""{'translat..."")","adjective: other, another.  pronoun: other.  "
498,eraan,37602,151831318,93.09255498095261,"Translated(src=nl, dest=en, text=to it, pronunciation=to it, extra_data=""{'translat..."")",to it
499,liefde,37343,151868661,93.1154511483998,"Translated(src=nl, dest=en, text=love, pronunciation=love, extra_data=""{'translat..."")","noun: love, heart.  adjective: erotic.  "
500,slapen,37222,151905883,93.13827312694247,"Translated(src=nl, dest=en, text=to sleep, pronunciation=to sleep, extra_data=""{'translat..."")","verb: sleep, lie.  "
501,ver,36713,151942596,93.16078302158104,"Translated(src=nl, dest=en, text=far, pronunciation=far, extra_data=""{'translat..."")","adjective: far, remote.  adverb: far, remotely.  "
502,reden,36707,151979303,93.18328923743096,"Translated(src=nl, dest=en, text=rode, pronunciation=rode, extra_data=""{'translat..."")","noun: reason, cause.  "
503,fout,36635,152015938,93.20575130781704,"Translated(src=nl, dest=en, text=error, pronunciation=error, extra_data=""{'translat..."")","noun: error, mistake.  adjective: wrong, incorrect.  "
504,vallen,36628,152052566,93.22820908628302,"Translated(src=nl, dest=en, text=fall, pronunciation=fall, extra_data=""{'translat..."")","verb: fall, drop.  "
505,maanden,36613,152089179,93.25065766777738,"Translated(src=nl, dest=en, text=months, pronunciation=months, extra_data=""{'translat..."")","noun: month, moon.  "
506,mogen,36542,152125721,93.27306271693932,"Translated(src=nl, dest=en, text=be allowed to, pronunciation=be allowed to, extra_data=""{'translat..."")",verb: may.  
507,oud,36427,152162148,93.29539725598542,"Translated(src=nl, dest=en, text=old, pronunciation=old, extra_data=""{'translat..."")","adjective: old, ancient.  "
508,vergeet,36401,152198549,93.31771585361402,"Translated(src=nl, dest=en, text=forgets, pronunciation=forgets, extra_data=""{'translat..."")",verb: forget.  
509,voelt,36000,152234549,93.33978858553428,"Translated(src=nl, dest=en, text=feels, pronunciation=feels, extra_data=""{'translat..."")","verb: feel, sense.  "
510,vent,35989,152270538,93.36185457300867,"Translated(src=nl, dest=en, text=guy, pronunciation=guy, extra_data=""{'translat..."")","noun: fellow, bloke.  "
511,sir,35728,152306266,93.38376053317666,"Translated(src=nl, dest=en, text=sir, pronunciation=sir, extra_data=""{'translat..."")",sir
512,hoorde,35716,152341982,93.40565913576732,"Translated(src=nl, dest=en, text=heard, pronunciation=heard, extra_data=""{'translat..."")","verb: hear, belong.  "
513,hoort,35667,152377649,93.42752769491733,"Translated(src=nl, dest=en, text=belongs, pronunciation=belongs, extra_data=""{'translat..."")","verb: hear, belong.  "
514,klinkt,35309,152412958,93.449176753011,"Translated(src=nl, dest=en, text=sounds, pronunciation=sounds, extra_data=""{'translat..."")","verb: sound, ring.  "
515,terwijl,35296,152448254,93.47081784039594,"Translated(src=nl, dest=en, text=while, pronunciation=while, extra_data=""{'translat..."")","conjunction: while, whilst.  preposition: during.  "
516,vriendin,35131,152483385,93.4923577610929,"Translated(src=nl, dest=en, text=female friend, pronunciation=female friend, extra_data=""{'translat..."")","noun: girlfriend, friend.  "
517,welkom,35066,152518451,93.51385782824613,"Translated(src=nl, dest=en, text=welcome, pronunciation=welcome, extra_data=""{'translat..."")","adjective: welcome, acceptable.  adverb: acceptably.  "
518,team,35038,152553489,93.53534072771897,"Translated(src=nl, dest=en, text=team, pronunciation=team, extra_data=""{'translat..."")","noun: team, side.  "
519,rond,34821,152588310,93.55669057766885,"Translated(src=nl, dest=en, text=round, pronunciation=round, extra_data=""{'translat..."")","adverb: around, roundly.  adjective: round, circular.  noun: round, rondure.  "
520,president,34799,152623109,93.57802693872699,"Translated(src=nl, dest=en, text=president, pronunciation=president, extra_data=""{'translat..."")","noun: president, chairman.  "
521,oorlog,34777,152657886,93.5993498108934,"Translated(src=nl, dest=en, text=war, pronunciation=war, extra_data=""{'translat..."")","noun: war, warfare.  "
522,duidelijk,34757,152692643,93.62066042043098,"Translated(src=nl, dest=en, text=clear, pronunciation=clear, extra_data=""{'translat..."")","adjective: clear, obvious.  adverb: clearly, obviously.  "
523,jaren,34619,152727262,93.64188641782953,"Translated(src=nl, dest=en, text=years, pronunciation=years, extra_data=""{'translat..."")","noun: year, annum.  "
524,rest,34598,152761860,93.66309953946778,"Translated(src=nl, dest=en, text=rest, pronunciation=rest, extra_data=""{'translat..."")","noun: rest, remainder.  "
525,schuld,34596,152796456,93.68431143484315,"Translated(src=nl, dest=en, text=debt, pronunciation=debt, extra_data=""{'translat..."")","noun: debt, fault.  "
