,Dutch,Frequency,SpaCy_POS,SpaCy_Tag,POS,Translation
2128,graven,5404,VERB,WW|inf|vrij|zonder,Verb,to dig
2129,nationale,5399,ADJ,ADJ|prenom|basis|met-e|stan,Adjective,national
2130,voorbeeld,5394,NOUN,N|soort|ev|basis|onz|stan,Noun,example
2131,besluit,5394,NOUN,N|soort|ev|basis|onz|stan,Noun,decision
2132,hang,5391,NOUN,N|soort|ev|basis|zijd|stan,Noun,hang
2133,herhaal,5390,NOUN,N|soort|ev|basis|onz|stan,Noun,repeat
2134,champagne,5389,NOUN,N|soort|ev|basis|zijd|stan,Noun,Champagne
2135,oceaan,5387,SCONJ,WW|inf|vrij|zonder,Conjunction,ocean
2136,geur,5385,NOUN,N|soort|ev|basis|onz|stan,Noun,odor
2137,zelfde,5382,ADJ,ADJ|vrij|basis|zonder,Adjective,same
2138,groeten,5379,VERB,WW|inf|vrij|zonder,Verb,regards
2139,verandering,5376,NOUN,N|soort|ev|basis|zijd|stan,Noun,change
2140,ruiken,5376,VERB,WW|inf|nom|zonder|zonder-n,Verb,to smell
2141,vierde,5369,ADJ,TW|rang|prenom|stan,Adjective,fourth
2142,waarschuwen,5367,VERB,WW|inf|nom|zonder|zonder-n,Verb,warn
2143,verdien,5358,VERB,WW|vd|vrij|zonder,Verb,earn
2144,bord,5357,NOUN,N|soort|ev|basis|onz|stan,Noun,plate
2145,ambulance,5351,SYM,SPEC|symb,Symbol,ambulance
2146,neerschieten,5351,VERB,WW|pv|verl|mv,Verb,shoot down
2147,spiegel,5349,NOUN,N|soort|ev|basis|zijd|stan,Noun,mirror
2148,hersens,5343,NOUN,N|soort|mv|basis,Noun,brains
2149,momenteel,5342,ADJ,ADJ|vrij|basis|zonder,Adjective,currently
2150,dubbele,5341,ADJ,ADJ|prenom|basis|met-e|stan,Adjective,double
2151,omstandigheden,5332,NOUN,N|soort|mv|basis,Noun,circumstances
2152,melden,5332,VERB,WW|inf|vrij|zonder,Verb,report
2153,sync,5330,SYM,SPEC|vreemd,Symbol,sync
2154,tegelijk,5329,ADV,BW,Adverb,at the same time
2155,knappe,5325,NOUN,N|soort|ev|basis|zijd|stan,Noun,handsome
2156,woede,5325,NOUN,N|soort|ev|basis|zijd|stan,Noun,fury
2157,leefde,5321,VERB,WW|pv|verl|ev,Verb,lived
2158,nat,5316,ADJ,ADJ|vrij|basis|zonder,Adjective,wet
2159,jury,5304,NOUN,N|soort|ev|basis|zijd|stan,Noun,jury
2160,groeien,5303,VERB,WW|inf|vrij|zonder,Verb,to grow
2161,wezens,5303,NOUN,N|soort|mv|basis,Noun,creatures
2162,russen,5295,PROPN,N|eigen|mv|basis,Proper noun,russians
2163,morgenochtend,5294,ADV,BW,Adverb,tomorrow morning
2164,wegens,5289,ADP,VZ|init,Preposition,due to
2165,kampioen,5286,NOUN,N|soort|ev|basis|zijd|stan,Noun,champion
2166,loog,5285,ADJ,ADJ|vrij|comp|zonder,Adjective,lied
2167,accepteren,5285,VERB,WW|pv|tgw|mv,Verb,accept
2168,studeren,5282,VERB,WW|pv|tgw|mv,Verb,to study
2169,behandeld,5278,VERB,WW|vd|vrij|zonder,Verb,treated
2170,tieten,5277,NOUN,N|soort|mv|basis,Noun,tits
2171,ernaar,5275,ADV,BW,Adverb,to it
2172,stopte,5274,VERB,WW|pv|verl|ev,Verb,stopped
2173,vormen,5272,VERB,WW|pv|tgw|mv,Verb,forms
2174,grotere,5272,ADJ,ADJ|prenom|comp|met-e|stan,Adjective,larger ones
2175,gedag,5271,ADV,BW,Adverb,hello
2176,kist,5271,NOUN,N|soort|ev|basis|zijd|stan,Noun,chest
2177,ruil,5267,NOUN,N|soort|ev|basis|zijd|stan,Noun,exchange
2178,engel,5266,NOUN,N|soort|ev|basis|zijd|stan,Noun,angel
2179,Edward,5265,PROPN,N|eigen|ev|basis|genus|stan,Proper noun,Edward
2180,gods,5263,PROPN,N|eigen|ev|basis|gen,Proper noun,gods
2181,bril,5263,NOUN,N|soort|ev|basis|zijd|stan,Noun,glasses
2182,keel,5260,NOUN,N|soort|ev|basis|zijd|stan,Noun,throat
2183,lef,5260,NOUN,N|soort|ev|basis|onz|stan,Noun,courage
2184,ervandoor,5259,ADV,BW,Adverb,away
2185,lichten,5255,NOUN,N|soort|mv|basis,Noun,lights
2186,medelijden,5250,NOUN,N|soort|ev|basis|onz|stan,Noun,pity
2187,tel,5241,X,SPEC|afk,Other,tel
2188,rijke,5229,ADJ,ADJ|prenom|basis|met-e|stan,Adjective,rich
2189,tunnel,5229,NOUN,N|soort|ev|basis|zijd|stan,Noun,tunnel
2190,haten,5228,NOUN,N|soort|mv|basis,Noun,hate
2191,afgesloten,5227,VERB,WW|vd|vrij|zonder,Verb,closed
2192,opzoeken,5221,VERB,WW|inf|vrij|zonder,Verb,to look up
2193,hal,5220,NOUN,N|soort|ev|basis|zijd|stan,Noun,hall
2194,terugkomt,5217,VERB,WW|pv|tgw|met-t,Verb,comes back
2195,slimme,5216,ADJ,ADJ|nom|basis|met-e|zonder-n|stan,Adjective,smart
2196,wedden,5213,NOUN,N|soort|mv|basis,Noun,bet
2197,lichamen,5204,NOUN,N|soort|mv|basis,Noun,bodies
2198,handel,5200,NOUN,N|soort|ev|basis|zijd|stan,Noun,trade
2199,huizen,5199,NOUN,N|soort|mv|basis,Noun,houses
2200,dief,5198,NOUN,N|soort|ev|basis|zijd|stan,Noun,thief
2201,moordenaars,5185,NOUN,N|soort|mv|basis,Noun,murderers
2202,hoogheid,5185,NOUN,N|soort|ev|basis|zijd|stan,Noun,your highness
2203,poging,5181,NOUN,N|soort|ev|basis|zijd|stan,Noun,attempt
2204,Jesse,5179,NOUN,N|soort|ev|basis|zijd|stan,Noun,Jesse
2205,materiaal,5178,NOUN,N|soort|ev|basis|onz|stan,Noun,material
2206,toestand,5172,NOUN,N|soort|ev|basis|zijd|stan,Noun,status
2207,amper,5172,ADV,BW,Adverb,barely
2208,voorlopig,5171,ADJ,ADJ|vrij|basis|zonder,Adjective,provisional
2209,veilige,5169,ADJ,ADJ|prenom|basis|met-e|stan,Adjective,safe
2210,verloofde,5168,VERB,WW|pv|verl|ev,Verb,fiance
2211,daarin,5166,ADV,BW,Adverb,in there
2212,slet,5165,NOUN,N|soort|ev|basis|zijd|stan,Noun,slut
2213,Texas,5161,PROPN,N|eigen|ev|basis|onz|stan,Proper noun,Texas
2214,oefenen,5160,VERB,WW|pv|tgw|mv,Verb,to practice
2215,Franse,5157,ADJ,ADJ|prenom|basis|met-e|stan,Adjective,French
2216,woonde,5156,VERB,WW|pv|verl|ev,Verb,lived
2217,prettige,5155,ADJ,ADJ|prenom|basis|met-e|stan,Adjective,pleasant
2218,voordeel,5148,NOUN,N|soort|ev|basis|onz|stan,Noun,benefit
2219,eindigt,5147,VERB,WW|pv|tgw|met-t,Verb,ends
2220,vliegt,5144,VERB,WW|pv|tgw|met-t,Verb,flies
2221,verdediging,5139,NOUN,N|soort|ev|basis|zijd|stan,Noun,defense
2222,vanochtend,5137,ADV,BW,Adverb,this morning
2223,zielig,5136,ADJ,ADJ|vrij|basis|zonder,Adjective,pathetic
2224,Wilson,5130,PROPN,N|eigen|ev|basis|zijd|stan,Proper noun,Wilson
2225,woestijn,5126,NOUN,N|soort|ev|basis|zijd|stan,Noun,desert
2226,apparaat,5126,NOUN,N|soort|ev|basis|onz|stan,Noun,device
2227,rat,5125,VERB,WW|pv|verl|ev,Verb,rat
2228,kocht,5119,VERB,WW|pv|verl|ev,Verb,bought
2229,lossen,5114,VERB,WW|inf|vrij|zonder,Verb,unload
2230,diner,5111,NOUN,N|soort|ev|basis|onz|stan,Noun,dinner
2231,cliënt,5111,NOUN,N|soort|ev|basis|zijd|stan,Noun,client
2232,feite,5106,NOUN,N|soort|ev|basis|dat,Noun,fact
2233,verkoopt,5104,VERB,WW|pv|tgw|met-t,Verb,sells
2234,idioten,5103,VERB,WW|pv|verl|mv,Verb,idiots
2235,komende,5102,VERB,WW|od|prenom|met-e,Verb,coming
2236,plegen,5099,VERB,WW|pv|tgw|mv,Verb,commit
2237,kaartje,5096,NOUN,N|soort|ev|dim|onz|stan,Noun,card
2238,-ste,5096,SYM,SPEC|afgebr,Symbol,-st
2239,dier,5095,NOUN,N|soort|ev|basis|onz|stan,Noun,animal
2240,waarschuwing,5094,NOUN,N|soort|ev|basis|zijd|stan,Noun,warning
2241,verbinding,5092,NOUN,N|soort|ev|basis|zijd|stan,Noun,link
2242,dichter,5091,NOUN,N|soort|ev|basis|zijd|stan,Noun,poet
2243,wijze,5091,NOUN,N|soort|ev|basis|zijd|stan,Noun,manner
2244,pensioen,5087,NOUN,N|soort|ev|basis|onz|stan,Noun,pension
2245,Afrika,5085,PROPN,N|eigen|ev|basis|onz|stan,Proper noun,Africa
2246,winnaar,5075,NOUN,N|soort|ev|basis|zijd|stan,Noun,winner
2247,drinkt,5072,VERB,WW|pv|tgw|met-t,Verb,drinks
2248,scheelt,5071,VERB,WW|pv|tgw|met-t,Verb,makes a difference
2249,doodde,5060,VERB,WW|pv|verl|ev,Verb,killed
2250,lieten,5059,VERB,WW|pv|verl|mv,Verb,left
2251,smerig,5058,ADJ,ADJ|vrij|basis|zonder,Adjective,filthy
2252,bewakers,5056,NOUN,N|soort|mv|basis,Noun,guards
2253,klok,5056,NOUN,N|soort|ev|basis|zijd|stan,Noun,clock
2254,oor,5055,NOUN,N|soort|ev|basis|onz|stan,Noun,ear
2255,verzet,5053,NOUN,N|soort|ev|basis|onz|stan,Noun,resists
2256,stijl,5053,NOUN,N|soort|ev|basis|zijd|stan,Noun,style
2257,richten,5052,VERB,WW|pv|tgw|mv,Verb,to target
2258,invloed,5052,NOUN,N|soort|ev|basis|zijd|stan,Noun,influence
2259,opgepakt,5052,VERB,WW|vd|vrij|zonder,Verb,arrested
2260,mogelijke,5050,ADJ,ADJ|prenom|basis|met-e|stan,Adjective,possible
2261,spelletjes,5045,NOUN,N|soort|mv|dim,Noun,games
2262,kerstman,5045,NOUN,N|soort|ev|basis|zijd|stan,Noun,Santa Claus
2263,markt,5043,NOUN,N|soort|ev|basis|zijd|stan,Noun,market
2264,bewaren,5042,VERB,WW|inf|vrij|zonder,Verb,save
2265,brieven,5042,NOUN,N|soort|mv|basis,Noun,letters
2266,studenten,5038,NOUN,N|soort|mv|basis,Noun,students
2267,varken,5038,VERB,WW|inf|nom|zonder|zonder-n,Verb,pig
2268,komst,5033,NOUN,N|soort|ev|basis|zijd|stan,Noun,coming
2269,lelijk,5031,ADJ,ADJ|vrij|basis|zonder,Adjective,ugly
2270,centrum,5027,NOUN,N|soort|ev|basis|onz|stan,Noun,Centre
2271,vijftien,5027,NUM,TW|hoofd|prenom|stan,Numeral,fifteen
2272,kaas,5025,NOUN,N|soort|ev|basis|zijd|stan,Noun,cheese
2273,genie,5013,NOUN,N|soort|ev|basis|zijd|stan,Noun,genius
2274,valse,5012,ADJ,ADJ|prenom|basis|met-e|stan,Adjective,false
2275,donkere,5010,ADJ,ADJ|prenom|basis|met-e|stan,Adjective,dark
2276,huur,5002,NOUN,N|soort|ev|basis|zijd|stan,Noun,rent
2277,VS,4994,PROPN,N|eigen|mv|basis,Proper noun,USA
2278,verdween,4987,VERB,WW|pv|verl|ev,Verb,disappeared
2279,overtuigd,4987,VERB,WW|vd|vrij|zonder,Verb,convinced
2280,aangezien,4984,SCONJ,VG|onder,Conjunction,since
2281,cijfers,4983,NOUN,N|soort|mv|basis,Noun,Numbers
2282,overwinning,4974,NOUN,N|soort|ev|basis|zijd|stan,Noun,victory
2283,behandeling,4970,NOUN,N|soort|ev|basis|zijd|stan,Noun,therapy
2284,belofte,4968,NOUN,N|soort|ev|basis|zijd|stan,Noun,promise
2285,bekeken,4964,VERB,WW|vd|vrij|zonder,Verb,Viewed
2286,breekt,4958,VERB,WW|pv|tgw|met-t,Verb,breaks
2287,jarige,4955,ADJ,ADJ|prenom|basis|met-e|stan,Adjective,year old
2288,training,4954,NOUN,N|soort|ev|basis|zijd|stan,Noun,training
2289,artikel,4954,NOUN,N|soort|ev|basis|onz|stan,Noun,article
2290,stelletje,4951,NOUN,N|soort|ev|dim|onz|stan,Noun,bunch
2291,kloppen,4949,VERB,WW|inf|vrij|zonder,Verb,to beat
2292,maakten,4949,VERB,WW|pv|verl|mv,Verb,made
2293,verrast,4948,VERB,WW|vd|vrij|zonder,Verb,surprised
2294,beroep,4945,NOUN,N|soort|ev|basis|onz|stan,Noun,profession
2295,honderden,4939,NUM,TW|hoofd|nom|mv-n|basis,Numeral,hundreds
2296,zette,4939,VERB,WW|pv|verl|ev,Verb,put
2297,waardeloos,4934,ADJ,ADJ|vrij|basis|zonder,Adjective,worthless
2298,rechtbank,4933,NOUN,N|soort|ev|basis|zijd|stan,Noun,court
2299,Robin,4928,PROPN,N|eigen|ev|basis|zijd|stan,Proper noun,Robin
2300,wijzen,4908,VERB,WW|pv|tgw|mv,Verb,ways
2301,vingerafdrukken,4908,NOUN,N|soort|mv|basis,Noun,fingerprints
2302,bleek,4907,VERB,WW|pv|verl|ev,Verb,pale
2303,maagd,4905,NOUN,N|soort|ev|basis|zijd|stan,Noun,virgin
2304,camera's,4901,NOUN,N|soort|mv|basis,Noun,cameras
2305,China,4898,PROPN,N|eigen|ev|basis|onz|stan,Proper noun,China
2306,personeel,4898,NOUN,N|soort|ev|basis|onz|stan,Noun,staff
2307,minstens,4897,ADV,BW,Adverb,at least
2308,schitterend,4897,VERB,WW|od|vrij|zonder,Verb,wonderful
2309,diegene,4895,PRON,VNW|aanw|det|stan|nom|met-e|zonder-n,Pronoun,that one
2310,starten,4894,VERB,WW|pv|tgw|mv,Verb,start
2311,geheel,4894,NOUN,N|soort|ev|basis|onz|stan,Noun,whole
2312,jeugd,4892,NOUN,N|soort|ev|basis|zijd|stan,Noun,youth
2313,berichten,4889,NOUN,N|soort|mv|basis,Noun,to inform
2314,mensheid,4885,NOUN,N|soort|ev|basis|zijd|stan,Noun,humanity
2315,gepland,4885,VERB,WW|vd|vrij|zonder,Verb,planned
2316,ramp,4882,NOUN,N|soort|ev|basis|zijd|stan,Noun,disaster
2317,onderwerp,4880,NOUN,N|soort|ev|basis|onz|stan,Noun,subject
2318,Californië,4879,PROPN,N|eigen|ev|basis|onz|stan,Proper noun,California
2319,zwembad,4875,NOUN,N|soort|ev|basis|onz|stan,Noun,swimming pool
2320,explosie,4874,NOUN,N|soort|ev|basis|zijd|stan,Noun,explosion
2321,ha,4873,SYM,SPEC|symb,Symbol,ha
2322,duurde,4871,VERB,WW|pv|verl|ev,Verb,lasted
2323,noch,4861,CCONJ,VG|neven,Conjunction,nor
2324,sliep,4857,VERB,WW|pv|verl|ev,Verb,slept
2325,redelijk,4857,ADJ,ADJ|vrij|basis|zonder,Adjective,reasonable
2326,excuus,4854,NOUN,N|soort|ev|basis|zijd|stan,Noun,excuse
2327,moge,4854,AUX,WW|pv|conj|ev,Auxiliary,may
2328,smeek,4854,PRON,WW|pv|tgw|met-t,Pronoun,beg
2329,geintje,4852,NOUN,N|soort|ev|dim|onz|stan,Noun,kidding
2330,pen,4850,NOUN,N|soort|ev|basis|zijd|stan,Noun,pen
2331,terroristen,4846,NOUN,N|soort|mv|basis,Noun,terrorists
2332,boerderij,4845,NOUN,N|soort|ev|basis|zijd|stan,Noun,farm
2333,belangrijker,4837,ADJ,ADJ|vrij|comp|zonder,Adjective,more important
2334,burger,4837,NOUN,N|soort|ev|basis|zijd|stan,Noun,civilian
2335,doodt,4835,ADV,BW,Adverb,kills
2336,overtuigen,4828,VERB,WW|inf|vrij|zonder,Verb,convince
2337,nep,4827,SYM,SPEC|symb,Symbol,fake
2338,diamanten,4826,NOUN,N|soort|mv|basis,Noun,diamonds
2339,aap,4815,NOUN,N|soort|ev|basis|zijd|stan,Noun,monkey
2340,ophangen,4812,NOUN,N|soort|mv|basis,Noun,to hang
2341,verderop,4811,ADV,BW,Adverb,beyond
2342,jacht,4810,NOUN,N|soort|ev|basis|onz|stan,Noun,hunt
2343,masker,4810,NOUN,N|soort|ev|basis|zijd|stan,Noun,mask
2344,mars,4807,NOUN,N|soort|ev|basis|zijd|stan,Noun,Mars
2345,onthouden,4800,VERB,WW|inf|vrij|zonder,Verb,to remember
2346,kleding,4800,NOUN,N|soort|ev|basis|zijd|stan,Noun,clothing
2347,schaduw,4799,NOUN,N|soort|ev|basis|zijd|stan,Noun,shadow
2348,overkomt,4797,VERB,WW|pv|tgw|met-t,Verb,happens
2349,bovendien,4793,ADV,BW,Adverb,moreover
2350,Duitse,4792,ADJ,ADJ|prenom|basis|met-e|stan,Adjective,German
2351,fearless,4781,NOUN,N|soort|ev|basis|zijd|stan,Noun,fearless
2352,walgelijk,4776,ADJ,ADJ|vrij|basis|zonder,Adjective,disgusting
2353,amen,4773,ADP,WW|inf|vrij|zonder,Preposition,Amen
2354,richt,4772,VERB,WW|pv|tgw|ev,Verb,dir
2355,dwars,4768,ADJ,ADJ|vrij|basis|zonder,Adjective,thwarted
2356,vriendschap,4768,NOUN,N|soort|ev|basis|zijd|stan,Noun,friendship
2357,7Up,4762,NUM,TW|hoofd|vrij,Numeral,7Up
2358,slang,4760,ADJ,ADJ|vrij|basis|zonder,Adjective,snake
2359,gouverneur,4759,NOUN,N|soort|ev|basis|zijd|stan,Noun,governor
2360,touw,4757,NOUN,N|soort|ev|basis|onz|stan,Noun,rope
2361,onthoud,4754,NOUN,N|soort|ev|basis|onz|stan,Noun,Remember
2362,daarbij,4754,ADV,BW,Adverb,thereby
2363,zand,4752,NOUN,N|soort|ev|basis|onz|stan,Noun,sand
2364,plicht,4749,NOUN,N|soort|ev|basis|onz|stan,Noun,duty
2365,trok,4748,VERB,WW|pv|verl|ev,Verb,pulled
2366,wegkomt,4745,VERB,WW|pv|tgw|met-t,Verb,gets away
2367,onschuldige,4734,ADJ,ADJ|prenom|basis|met-e|stan,Adjective,innocent
2368,collega,4734,NOUN,N|soort|ev|basis|zijd|stan,Noun,co-worker
2369,onszelf,4733,PRON,VNW|pr|pron|obl|nadr|1|ev,Pronoun,ourselves
2370,voorbereid,4732,VERB,WW|vd|vrij|zonder,Verb,prepared
2371,haalde,4730,VERB,WW|pv|verl|ev,Verb,got
2372,Greg,4730,PROPN,N|eigen|ev|basis|onz|stan,Proper noun,Greg
2373,verwijderd,4729,VERB,WW|vd|vrij|zonder,Verb,deleted
2374,veranderde,4726,VERB,WW|pv|verl|ev,Verb,changed
2375,gunst,4726,NOUN,N|soort|ev|basis|zijd|stan,Noun,favor
2376,okee,4726,NOUN,N|soort|ev|basis|zijd|stan,Noun,okay
2377,leden,4724,NOUN,N|soort|mv|basis,Noun,members
2378,wassen,4724,VERB,WW|inf|vrij|zonder,Verb,to wash
2379,win,4722,VERB,WW|pv|tgw|ev,Verb,win
2380,gepleegd,4716,VERB,WW|vd|vrij|zonder,Verb,committed
2381,snijden,4715,VERB,WW|inf|vrij|zonder,Verb,to cut
2382,Frans,4715,PROPN,N|eigen|ev|basis|zijd|stan,Proper noun,French
2383,reputatie,4713,NOUN,N|soort|ev|basis|zijd|stan,Noun,reputation
2384,teleurgesteld,4710,VERB,WW|vd|vrij|zonder,Verb,disappointed
2385,letten,4710,VERB,WW|pv|tgw|mv,Verb,pay attention
2386,uniform,4707,NOUN,N|soort|ev|basis|onz|stan,Noun,uniform
2387,verklaren,4707,VERB,WW|inf|vrij|zonder,Verb,to declare
2388,monsters,4706,NOUN,N|soort|mv|basis,Noun,monsters
2389,fan,4704,SYM,SPEC|vreemd,Symbol,fan
2390,bruid,4696,ADJ,ADJ|vrij|basis|zonder,Adjective,bride
2391,overheid,4696,NOUN,N|soort|ev|basis|zijd|stan,Noun,government
2392,enterprise,4696,NOUN,N|soort|ev|basis|zijd|stan,Noun,enterprise
2393,gewaarschuwd,4694,VERB,WW|vd|vrij|zonder,Verb,warned
2394,daarbuiten,4694,ADV,BW,Adverb,out there
2395,daarover,4693,ADV,BW,Adverb,about that
2396,leest,4691,VERB,WW|pv|tgw|met-t,Verb,is reading
2397,gezondheid,4686,NOUN,N|soort|ev|basis|zijd|stan,Noun,health
2398,geliefde,4680,ADJ,ADJ|prenom|basis|met-e|stan,Adjective,lover
2399,ontmoeting,4679,NOUN,N|soort|ev|basis|zijd|stan,Noun,meeting
2400,stinkt,4676,VERB,WW|pv|tgw|met-t,Verb,smelly
2401,uiteraard,4676,ADV,BW,Adverb,of course
2402,makker,4670,ADJ,ADJ|vrij|comp|zonder,Adjective,buddy
2403,vanmiddag,4670,ADV,BW,Adverb,this afternoon
2404,aangekomen,4670,VERB,WW|vd|vrij|zonder,Verb,arrived
2405,meedoen,4662,VERB,WW|inf|vrij|zonder,Verb,participate
2406,minst,4656,CCONJ,VNW|onbep|grad|stan|vrij|zonder|sup,Conjunction,least
2407,maag,4655,NOUN,ADJ|vrij|basis|zonder,Noun,stomach
2408,route,4654,NOUN,N|soort|ev|basis|zijd|stan,Noun,route
2409,omgaan,4649,VERB,WW|pv|tgw|mv,Verb,to deal with
2410,hoogste,4648,ADJ,ADJ|prenom|sup|met-e|stan,Adjective,highest
2411,verrader,4644,ADJ,ADJ|vrij|comp|zonder,Adjective,traitor
2412,indrukwekkend,4641,ADJ,ADJ|vrij|basis|zonder,Adjective,impressive
2413,mogelijkheden,4634,NOUN,N|soort|mv|basis,Noun,possibilities
2414,Helen,4631,PROPN,SPEC|deeleigen,Proper noun,Helen
2415,gebaseerd,4626,VERB,WW|vd|vrij|zonder,Verb,based
2416,Nederlandse,4626,ADJ,ADJ|prenom|basis|met-e|stan,Adjective,Dutch
2417,verschuldigd,4625,VERB,WW|vd|vrij|zonder,Verb,owed
2418,lever,4625,NOUN,N|soort|ev|basis|zijd|stan,Noun,liver
2419,scheiden,4621,VERB,WW|pv|verl|mv,Verb,to divorce
2420,sprong,4611,VERB,WW|pv|verl|ev,Verb,jumped
2421,daarbinnen,4605,VERB,WW|inf|nom|zonder|zonder-n,Verb,in there
2422,wolf,4603,NOUN,N|soort|ev|basis|zijd|stan,Noun,Wolf
2423,whisky,4603,ADV,SPEC|vreemd,Adverb,whiskey
2424,lady,4599,SYM,SPEC|vreemd,Symbol,lady
2425,live,4593,ADJ,ADJ|vrij|basis|zonder,Adjective,live
2426,voldoende,4587,ADJ,ADJ|vrij|basis|zonder,Adjective,Enough
2427,onderzocht,4584,VERB,WW|vd|vrij|zonder,Verb,investigated
2428,universum,4583,NOUN,N|soort|ev|basis|onz|stan,Noun,universe
2429,ontzettend,4581,ADJ,ADJ|vrij|basis|zonder,Adjective,terribly
2430,gevochten,4574,VERB,WW|vd|vrij|zonder,Verb,fought
2431,Marshall,4572,PROPN,N|eigen|ev|basis|genus|stan,Proper noun,Marshall
2432,pop,4568,NOUN,N|soort|ev|basis|zijd|stan,Noun,pop
2433,lijf,4568,SYM,N|soort|ev|basis|onz|stan,Symbol,body
2434,douche,4565,ADJ,N|soort|ev|basis|zijd|stan,Adjective,shower
2435,hieruit,4565,ADV,BW,Adverb,from here
2436,junior,4559,ADJ,ADJ|postnom|basis|zonder,Adjective,junior
2437,golf,4558,NOUN,N|soort|ev|basis|onz|stan,Noun,golf
2438,Amerikaan,4557,PROPN,N|eigen|ev|basis|zijd|stan,Proper noun,American
2439,kut,4551,ADP,N|soort|ev|basis|zijd|stan,Preposition,pussy
2440,model,4547,NOUN,N|soort|ev|basis|onz|stan,Noun,fashion model
2441,geldt,4545,VERB,WW|pv|tgw|met-t,Verb,applies
2442,seizoen,4544,NOUN,N|soort|ev|basis|onz|stan,Noun,season
2443,omlaag,4543,ADV,BW,Adverb,down
2444,nummers,4539,NOUN,N|soort|mv|basis,Noun,numbers
2445,trainen,4537,VERB,WW|inf|vrij|zonder,Verb,train
2446,mijl,4533,NOUN,N|soort|ev|basis|zijd|stan,Noun,miles
2447,jongeman,4532,NOUN,N|soort|ev|basis|zijd|stan,Noun,young man
2448,welnee,4528,NOUN,N|soort|ev|basis|zijd|stan,Noun,no
2449,broertje,4526,NOUN,N|soort|ev|dim|onz|stan,Noun,baby brother
2450,marine,4526,NOUN,N|soort|ev|basis|zijd|stan,Noun,navy
2451,pakte,4525,VERB,WW|pv|verl|ev,Verb,grabbed
2452,wandelen,4520,VERB,WW|inf|vrij|zonder,Verb,to walk
2453,herstellen,4519,VERB,WW|inf|vrij|zonder,Verb,to recover
2454,robot,4518,NOUN,N|soort|ev|basis|zijd|stan,Noun,robot
2455,ongerust,4517,ADJ,ADJ|vrij|basis|zonder,Adjective,worried
2456,vijftig,4514,NUM,TW|hoofd|prenom|stan,Numeral,fifty
2457,gegooid,4514,VERB,WW|vd|vrij|zonder,Verb,thrown
2458,duisternis,4509,NOUN,N|soort|ev|basis|onz|stan,Noun,darkness
2459,jochie,4509,ADJ,N|soort|ev|basis|zijd|stan,Adjective,kid
2460,hi,4509,PRON,SPEC|symb,Pronoun,Hi
2461,hekel,4508,NOUN,N|soort|ev|basis|zijd|stan,Noun,hate
2462,doodgaan,4506,VERB,WW|inf|vrij|zonder,Verb,die
2463,Cole,4505,PROPN,SPEC|deeleigen,Proper noun,Cole
2464,briefje,4502,NOUN,N|soort|ev|dim|onz|stan,Noun,note
2465,tweeën,4497,NUM,TW|hoofd|nom|mv-n|basis,Numeral,twos
2466,achteren,4497,ADV,BW,Adverb,behind
2467,getekend,4496,VERB,WW|vd|vrij|zonder,Verb,drawn
2468,vlakbij,4496,ADP,VZ|fin,Preposition,nearby
2469,prettig,4496,ADJ,ADJ|vrij|basis|zonder,Adjective,pleasant
2470,teef,4496,VERB,WW|pv|verl|ev,Verb,female dog
2471,schoten,4496,NOUN,N|soort|mv|basis,Noun,shots
2472,eisen,4492,VERB,WW|inf|vrij|zonder,Verb,to demand
2473,schrijver,4491,NOUN,N|soort|ev|basis|zijd|stan,Noun,writer
2474,knop,4489,NOUN,N|soort|ev|basis|zijd|stan,Noun,knob
2475,sigaret,4484,NOUN,N|soort|ev|basis|zijd|stan,Noun,cigarette
2476,smerige,4483,ADJ,ADJ|prenom|basis|met-e|stan,Adjective,filthy
2477,reageren,4475,VERB,WW|pv|tgw|mv,Verb,comment
2478,vloek,4470,NOUN,N|soort|ev|basis|zijd|stan,Noun,curse
2479,achterna,4470,VERB,BW,Verb,after
2480,legende,4467,VERB,WW|od|prenom|met-e,Verb,legend
2481,stonden,4466,VERB,WW|pv|verl|mv,Verb,stood
2482,ai,4466,ADP,WW|pv|tgw|mv,Preposition,oh
2483,banden,4458,NOUN,N|soort|mv|basis,Noun,tyres
2484,branden,4452,VERB,WW|pv|tgw|mv,Verb,to burn
2485,aangenomen,4449,VERB,WW|vd|vrij|zonder,Verb,accepted
2486,nul,4446,NUM,TW|hoofd|vrij,Numeral,zero
2487,borsten,4443,NOUN,N|soort|mv|basis,Noun,breasts
2488,Miles,4437,PROPN,N|eigen|ev|basis|onz|stan,Proper noun,Miles
2489,hierover,4429,ADV,BW,Adverb,about this
2490,bovenop,4418,ADP,VZ|init,Preposition,on top of
2491,vampier,4412,NOUN,N|soort|ev|basis|onz|stan,Noun,vampire
2492,overeenkomst,4411,NOUN,N|soort|ev|basis|zijd|stan,Noun,agreement
2493,brave,4409,ADJ,WW|pv|conj|ev,Adjective,good
2494,optreden,4408,VERB,WW|inf|vrij|zonder,Verb,performance
2495,brak,4404,VERB,WW|pv|verl|ev,Verb,broke
2496,gesteld,4400,VERB,WW|vd|vrij|zonder,Verb,stated
2497,vuil,4399,ADJ,ADJ|vrij|basis|zonder,Adjective,filthy
2498,dinsdag,4399,PROPN,N|eigen|ev|basis|zijd|stan,Proper noun,Tuesday
2499,vergat,4397,NOUN,N|soort|ev|basis|onz|stan,Noun,forgot
2500,verenigde,4397,VERB,WW|vd|prenom|met-e,Verb,united
